method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
qjl,3,3,T3_text2text,0.274,0.434,0.516,1000
qjl,3,3,T4_image2image,0.486,0.831,0.919,1000
qjl,3,4,T1_text2image,0.063,0.161,0.228,1000
qjl,3,4,T2_image2text,0.139,0.297,0.399,1000
qjl,3,4,T3_text2text,0.25,0.42,0.491,1000
qjl,3,4,T4_image2image,0.453,0.814,0.91,1000
qjl,4,0,T1_text2image,0.074,0.174,0.232,1000
qjl,4,0,T2_image2text,0.118,0.286,0.375,1000
qjl,4,0,T3_text2text,0.281,0.458,0.525,1000
qjl,4,0,T4_image2image,0.472,0.827,0.914,1000
qjl,4,1,T1_text2image,0.082,0.161,0.225,1000
qjl,4,1,T2_image2text,0.146,0.323,0.414,1000
qjl,4,1,T3_text2text,0.259,0.425,0.493,1000
qjl,4,1,T4_image2image,0.479,0.822,0.913,1000
qjl,4,2,T1_text2image,0.068,0.168,0.233,1000
qjl,4,2,T2_image2text,0.119,0.283,0.361,1000
qjl,4,2,T3_text2text,0.267,0.42,0.488,1000
qjl,4,2,T4_image2image,0.473,0.841,0.923,1000
qjl,4,3,T1_text2image,0.068,0.172,0.248,1000
qjl,4,3,T2_image2text,0.124,0.287,0.376,1000
qjl,4,3,T3_text2text,0.274,0.434,0.516,1000
qjl,4,3,T4_image2image,0.486,0.831,0.919,1000
qjl,4,4,T1_text2image,0.063,0.161,0.228,1000
qjl,4,4,T2_image2text,0.139,0.297,0.399,1000
qjl,4,4,T3_text2text,0.25,0.42,0.491,1000
qjl,4,4,T4_image2image,0.453,0.814,0.91,1000
polarquant,2,0,T1_text2image,0.138,0.321,0.399,1000
polarquant,2,0,T2_image2text,0.274,0.524,0.624,1000
polarquant,2,0,T3_text2text,0.298,0.466,0.533,1000
polarquant,2,0,T4_image2image,0.662,0.967,0.994,1000
polarquant,2,1,T1_text2image,0.151,0.31,0.404,1000
polarquant,2,1,T2_image2text,0.262,0.51,0.623,1000
polarquant,2,1,T3_text2text,0.273,0.438,0.503,1000
polarquant,2,1,T4_image2image,0.682,0.971,0.996,1000
polarquant,2,2,T1_text2image,0.153,0.308,0.39,1000
polarquant,2,2,T2_image2text,0.296,0.527,0.617,1000
polarquant,2,2,T3_text2text,0.282,0.436,0.516,1000
polarquant,2,2,T4_image2image,0.705,0.972,0.998,1000
polarquant,2,3,T1_text2image,0.169,0.328,0.413,1000
polarquant,2,3,T2_image2text,0.297,0.527,0.647,1000
polarquant,2,3,T3_text2text,0.283,0.469,0.541,1000
polarquant,2,3,T4_image2image,0.686,0.966,0.995,1000
polarquant,2,4,T1_text2image,0.157,0.317,0.424,1000
polarquant,2,4,T2_image2text,0.31,0.544,0.635,1000
polarquant,2,4,T3_text2text,0.274,0.425,0.516,1000
polarquant,2,4,T4_image2image,0.694,0.972,0.992,1000
polarquant,3,0,T1_text2image,0.185,0.39,0.484,1000
polarquant,3,0,T2_image2text,0.344,0.597,0.697,1000
polarquant,3,0,T3_text2text,0.3,0.479,0.546,1000
polarquant,3,0,T4_image2image,0.809,0.999,1.0,1000
polarquant,3,1,T1_text2image,0.185,0.367,0.463,1000
polarquant,3,1,T2_image2text,0.37,0.603,0.714,1000
polarquant,3,1,T3_text2text,0.288,0.441,0.516,1000
polarquant,3,1,T4_image2image,0.83,0.997,1.0,1000
polarquant,3,2,T1_text2image,0.195,0.352,0.449,1000
polarquant,3,2,T2_image2text,0.363,0.609,0.708,1000
polarquant,3,2,T3_text2text,0.286,0.44,0.526,1000
polarquant,3,2,T4_image2image,0.847,0.997,1.0,1000
polarquant,3,3,T1_text2image,0.224,0.387,0.479,1000
polarquant,3,3,T2_image2text,0.38,0.628,0.726,1000
polarquant,3,3,T3_text2text,0.295,0.471,0.538,1000
polarquant,3,3,T4_image2image,0.817,0.998,1.0,1000
polarquant,3,4,T1_text2image,0.185,0.401,0.488,1000
polarquant,3,4,T2_image2text,0.371,0.624,0.712,1000
polarquant,3,4,T3_text2text,0.277,0.439,0.507,1000
polarquant,3,4,T4_image2image,0.831,0.999,1.0,1000
